index,n,name,place_id,,
20677,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20678,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20679,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20684,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
30486,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
33382,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
33383,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
39553,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
39986,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
184,"鱔魚,　意麵,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
6029,"鱔魚,　意麵,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
14420,"鱔魚,　意麵,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
14424,"鱔魚,　意麵,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
167,"鱔魚,　意麵,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
187,"鱔魚,　意麵,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
12060,"鱔魚,　意麵,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
