,0
1692,魚鬆
1693,"味道,"
1694,糯米
1695,滷肉飯
1696,"肉鬆,"
1697,薏仁漿
1698,口感
1699,顆粒感
1700,甜度
1701,杏仁茶
1702,"朋友,"
1703,義大利麵
1704,紅醬
1705,飲料
1706, 料
1707,麵
1708,醬
1709,"感覺,"
1710,"早餐,"
1711,老闆娘
1712,小朋友
1713,"冰品,"
1714,"牛肉,"
1715,nan
1716,"美食,"
1717,時間
1718,美食
1719,機會
1720,美食
1721,"魅力,"
1722,機會
1723,朋友
1724,"菜,"
1725,"牛肉麵,"
1726,母親
1727,土魠魚
1728,"米粉,"
1729,"餐點,"
1730,"棺材板,"
1731,料理
1732,燉飯
1733,義大利麵
1734,豬
1735,魚排
1736,沙拉
1737,"作,"
1738,肉粽
1739,"種類,"
1740,"評論,"
1741,冬瓜茶
1742,"甜度,"
1743,小卷
1744,米粉
1745,"小卷,"
1746,"虱目魚,"
1747,"聖品,"
1748,味道
1749,平民
1750,"美食,"
1751,顧客
1752,"包子,"
1753,"生意,"
1754,圓仔冰
1755,傳統
1756,"滋味,"
1757,"滋味,"
1758,魚餃
1759,魚麵
1760,胃
1761,"人手,"
1762,"回憶,"
1763,滋味
1764,魚肉
1765,"湯頭,"
1766,關鍵
1767,鴨血
1768,豆腐
1769,"鼎王,"
1770,關東煮
1771,"口感,"
1772,"關東煮,"
1773,關東煮
1774,"泡麵,"
1775,關東煮
1776,醬
1777,缺點
1778,座位
1779,"座位,"
1780,"關東煮,"
1781,關東煮
1782,"醬油膏,"
1783,關東煮
1784,口味
1785,價位
1786,沙茶粉
1787,"七味粉,"
1788,溫度
1789,心
1790,咖啡
1791,咖啡
1792,"地方,"
1793,口
1794,酪梨
1795,布丁
1796,牛奶
1797,"時光,"
1798,"咖啡,"
1799,"飛蚊,"
1800,"蔬果乾,"
1801,"商品,"
1802,nan
1803,"咖啡,"
1804,蟹黃
1805,小籠包
1806,豬肉
1807,騷味
1808,"皮,"
1809,蟹黃
1810,湯包
1811,酸辣湯
1812,平價
1813,"美食,"
1814,蟹黃
1815,湯包
1816,"湯品,"
1817,蟹黃
1818,小籠包
1819,小籠包
1820,"皮,"
1821,蟹黃
1822,小籠包
1823,小籠包
